# Počet opakování k = 100
# Celkový čas výpočtů: 12.76 sekund
N (počet bodů)      	pi (odhad)          	Kombinovaná nejistota uC 
1                   	3.2400000000        	8.5993657271             
2                   	3.0000000000        	6.1627751849             
3                   	3.3600000000        	4.9124135574             
5                   	3.1840000000        	3.8759262171             
6                   	3.1266666667        	3.5641058808             
7                   	3.0857142857        	3.3190789840             
10                  	3.1680000000        	2.7305795441             
12                  	3.1600000000        	2.5078641742             
15                  	3.1013333333        	2.2565812466             
19                  	3.1115789474        	2.0028955787             
25                  	3.1024000000        	1.7558930963             
31                  	3.1432258065        	1.5574925063             
39                  	3.1476923077        	1.3937485003             
50                  	3.1728000000        	1.2168715643             
63                  	3.1320634921        	1.0822555117             
79                  	3.1427848101        	0.9773414526             
100                 	3.1332000000        	0.8626802491             
125                 	3.1382400000        	0.7813919266             
158                 	3.1410126582        	0.6891614987             
199                 	3.1439195980        	0.6106574914             
251                 	3.1475697211        	0.5502047355             
316                 	3.1396202532        	0.4873233233             
398                 	3.1447236181        	0.4292435382             
501                 	3.1540119760        	0.3810459280             
630                 	3.1356825397        	0.3416157194             
794                 	3.1364231738        	0.3073408383             
1000                	3.1380400000        	0.2710726795             
1258                	3.1409538951        	0.2420571804             
1584                	3.1439141414        	0.2178894835             
1995                	3.1420350877        	0.1951250832             
2511                	3.1398964556        	0.1748613001             
3162                	3.1381024668        	0.1525136017             
3981                	3.1459130872        	0.1366263813             
5011                	3.1449531032        	0.1246349953             
6309                	3.1414423839        	0.1079866288             
7943                	3.1445599899        	0.0949760553             
10000               	3.1384560000        	0.0843514740             
12589               	3.1430772897        	0.0773026879             
15848               	3.1415320545        	0.0684789647             
19952               	3.1403588613        	0.0609012206             
25118               	3.1413122064        	0.0547553265             
31622               	3.1424615774        	0.0486475082             
39810               	3.1425551369        	0.0436327714             
50118               	3.1408547827        	0.0383543882             
63095               	3.1406228703        	0.0347347070             
79432               	3.1419463189        	0.0307729662             
100000              	3.1413692000        	0.0273329558             
125892              	3.1413173196        	0.0244915337             
158489              	3.1416650998        	0.0215072190             
199526              	3.1415675150        	0.0193262798             
251188              	3.1418155326        	0.0172799523             
316227              	3.1413251873        	0.0155267713             
398107              	3.1414465960        	0.0136486100             
501187              	3.1411865032        	0.0125668651             
630957              	3.1419488174        	0.0110934420             
794328              	3.1412084177        	0.0097626727             

==================================================
# Odhady π pro jednotlivá opakování

k = 1
N                   	pi odhad            
1                   	4.0000000000        
2                   	4.0000000000        
3                   	4.0000000000        
5                   	3.2000000000        
6                   	3.3333333333        
7                   	2.2857142857        
10                  	2.8000000000        
12                  	2.6666666667        
15                  	3.7333333333        
19                  	2.9473684211        
25                  	3.0400000000        
31                  	2.9677419355        
39                  	2.9743589744        
50                  	3.4400000000        
63                  	3.3015873016        
79                  	3.0886075949        
100                 	3.2000000000        
125                 	3.2960000000        
158                 	3.0886075949        
199                 	3.1557788945        
251                 	3.3625498008        
316                 	3.1392405063        
398                 	3.0150753769        
501                 	3.1776447106        
630                 	3.2761904762        
794                 	3.0680100756        
1000                	3.2040000000        
1258                	3.1637519873        
1584                	3.1666666667        
1995                	3.1799498747        
2511                	3.2130625249        
3162                	3.1170145478        
3981                	3.1348907310        
5011                	3.1490720415        
6309                	3.1307655730        
7943                	3.1680725167        
10000               	3.1164000000        
12589               	3.1421081897        
15848               	3.1539626451        
19952               	3.1389334403        
25118               	3.1274783024        
31622               	3.1399658466        
39810               	3.1386083899        
50118               	3.1498463626        
63095               	3.1444012996        
79432               	3.1393896666        
100000              	3.1396400000        
125892              	3.1374511486        
158489              	3.1397005470        
199526              	3.1385383359        
251188              	3.1408666019        
316227              	3.1446777157        
398107              	3.1455161552        
501187              	3.1396185456        
630957              	3.1422743547        
794328              	3.1406471886        

k = 2
N                   	pi odhad            
1                   	4.0000000000        
2                   	0.0000000000        
3                   	2.6666666667        
5                   	4.0000000000        
6                   	3.3333333333        
7                   	3.4285714286        
10                  	3.2000000000        
12                  	3.0000000000        
15                  	3.2000000000        
19                  	3.1578947368        
25                  	3.2000000000        
31                  	3.3548387097        
39                  	3.4871794872        
50                  	3.2800000000        
63                  	2.9841269841        
79                  	3.2405063291        
100                 	2.8400000000        
125                 	3.3600000000        
158                 	3.1898734177        
199                 	3.0552763819        
251                 	3.2509960159        
316                 	3.0506329114        
398                 	3.1055276382        
501                 	3.0818363273        
630                 	3.1492063492        
794                 	3.0881612091        
1000                	3.1560000000        
1258                	3.0842607313        
1584                	3.0959595960        
1995                	3.1358395990        
2511                	3.1589008363        
3162                	3.1891208096        
3981                	3.1419241397        
5011                	3.1490720415        
6309                	3.1358376922        
7943                	3.1408787612        
10000               	3.1540000000        
12589               	3.1525935340        
15848               	3.1496718829        
19952               	3.1345228549        
25118               	3.1406959153        
31622               	3.1418632598        
39810               	3.1374026626        
50118               	3.1393112255        
63095               	3.1398367541        
79432               	3.1369221472        
100000              	3.1388800000        
125892              	3.1355765259        
158489              	3.1442182107        
199526              	3.1453745377        
251188              	3.1510581716        
316227              	3.1432610119        
398107              	3.1405225228        
501187              	3.1398499961        
630957              	3.1443410565        
794328              	3.1420722926        

k = 3
N                   	pi odhad            
1                   	0.0000000000        
2                   	2.0000000000        
3                   	2.6666666667        
5                   	3.2000000000        
6                   	2.6666666667        
7                   	3.4285714286        
10                  	3.6000000000        
12                  	3.0000000000        
15                  	2.6666666667        
19                  	2.7368421053        
25                  	3.2000000000        
31                  	3.7419354839        
39                  	3.0769230769        
50                  	3.4400000000        
63                  	3.4920634921        
79                  	3.0379746835        
100                 	3.0400000000        
125                 	3.0720000000        
158                 	3.0886075949        
199                 	3.1155778894        
251                 	2.9482071713        
316                 	3.2025316456        
398                 	3.2160804020        
501                 	3.2095808383        
630                 	3.1492063492        
794                 	3.1335012594        
1000                	3.1880000000        
1258                	3.0937996820        
1584                	3.1590909091        
1995                	3.1218045113        
2511                	3.1652727997        
3162                	3.1650853890        
3981                	3.1087666415        
5011                	3.1243264817        
6309                	3.1573941988        
7943                	3.1247639431        
10000               	3.1400000000        
12589               	3.1605369767        
15848               	3.1519434629        
19952               	3.1603849238        
25118               	3.1381479417        
31622               	3.1381949276        
39810               	3.1342878674        
50118               	3.1444989824        
63095               	3.1345114510        
79432               	3.1442743479        
100000              	3.1426400000        
125892              	3.1503510946        
158489              	3.1417448530        
199526              	3.1337870754        
251188              	3.1357708171        
316227              	3.1399595860        
398107              	3.1425621755        
501187              	3.1452691311        
630957              	3.1425976731        
794328              	3.1385372290        

k = 4
N                   	pi odhad            
1                   	0.0000000000        
2                   	4.0000000000        
3                   	2.6666666667        
5                   	4.0000000000        
6                   	2.6666666667        
7                   	4.0000000000        
10                  	3.6000000000        
12                  	2.0000000000        
15                  	4.0000000000        
19                  	3.1578947368        
25                  	3.3600000000        
31                  	2.9677419355        
39                  	3.4871794872        
50                  	3.2000000000        
63                  	3.2380952381        
79                  	3.0886075949        
100                 	3.1200000000        
125                 	3.2000000000        
158                 	2.9873417722        
199                 	3.3366834171        
251                 	2.9960159363        
316                 	3.1518987342        
398                 	3.0653266332        
501                 	3.2574850299        
630                 	3.1492063492        
794                 	3.0881612091        
1000                	3.2320000000        
1258                	3.1414944356        
1584                	3.0959595960        
1995                	3.1218045113        
2511                	3.1700517722        
3162                	3.1448450348        
3981                	3.1991961819        
5011                	3.1418878467        
6309                	3.1434458710        
7943                	3.1524612867        
10000               	3.1520000000        
12589               	3.1471919930        
15848               	3.1297324584        
19952               	3.1359262229        
25118               	3.1211083685        
31622               	3.1666561255        
39810               	3.1425270033        
50118               	3.1356398899        
63095               	3.1425628021        
79432               	3.1441232753        
100000              	3.1399600000        
125892              	3.1429479236        
158489              	3.1349052616        
199526              	3.1426079809        
251188              	3.1420450021        
316227              	3.1454746116        
398107              	3.1411454709        
501187              	3.1410471541        
630957              	3.1432886869        
794328              	3.1449728576        

k = 5
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	4.0000000000        
5                   	2.4000000000        
6                   	2.6666666667        
7                   	3.4285714286        
10                  	2.8000000000        
12                  	2.6666666667        
15                  	3.7333333333        
19                  	3.1578947368        
25                  	3.5200000000        
31                  	2.9677419355        
39                  	3.6923076923        
50                  	3.1200000000        
63                  	3.1111111111        
79                  	3.2405063291        
100                 	3.1600000000        
125                 	3.1040000000        
158                 	3.2658227848        
199                 	3.0753768844        
251                 	3.1553784861        
316                 	3.0379746835        
398                 	3.1959798995        
501                 	3.0578842315        
630                 	3.1619047619        
794                 	3.1838790932        
1000                	3.1360000000        
1258                	3.1192368839        
1584                	3.1313131313        
1995                	3.2100250627        
2511                	3.2050975707        
3162                	3.1448450348        
3981                	3.1539814117        
5011                	3.1722211136        
6309                	3.0958947535        
7943                	3.1504469344        
10000               	3.1264000000        
12589               	3.1367066487        
15848               	3.1448763251        
19952               	3.1375300722        
25118               	3.1359184648        
31622               	3.1454050977        
39810               	3.1407184125        
50118               	3.1466538968        
63095               	3.1405975117        
79432               	3.1595326820        
100000              	3.1499600000        
125892              	3.1402471960        
158489              	3.1399276921        
199526              	3.1448933974        
251188              	3.1460101597        
316227              	3.1468280697        
398107              	3.1385732981        
501187              	3.1415419793        
630957              	3.1458498757        
794328              	3.1421629352        

k = 6
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	2.6666666667        
5                   	1.6000000000        
6                   	2.6666666667        
7                   	3.4285714286        
10                  	2.8000000000        
12                  	2.6666666667        
15                  	3.7333333333        
19                  	2.5263157895        
25                  	3.0400000000        
31                  	3.3548387097        
39                  	2.5641025641        
50                  	3.1200000000        
63                  	2.9841269841        
79                  	3.1392405063        
100                 	3.2800000000        
125                 	3.0080000000        
158                 	3.1139240506        
199                 	3.0150753769        
251                 	3.2350597610        
316                 	3.3164556962        
398                 	3.1055276382        
501                 	3.1856287425        
630                 	3.1809523810        
794                 	3.2040302267        
1000                	3.2040000000        
1258                	3.2273449921        
1584                	3.0959595960        
1995                	3.0877192982        
2511                	3.1525288730        
3162                	3.1132194813        
3981                	3.1198191409        
5011                	3.1698263820        
6309                	3.1402757965        
7943                	3.1051240086        
10000               	3.1452000000        
12589               	3.1151004846        
15848               	3.1610297829        
19952               	3.1421411387        
25118               	3.1322557528        
31622               	3.1421162482        
39810               	3.1252449133        
50118               	3.1408276468        
63095               	3.1428163880        
79432               	3.1381307282        
100000              	3.1341600000        
125892              	3.1450767324        
158489              	3.1400286455        
199526              	3.1418662229        
251188              	3.1431119321        
316227              	3.1419202029        
398107              	3.1389249624        
501187              	3.1390758340        
630957              	3.1471368096        
794328              	3.1404205819        

k = 7
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	2.6666666667        
5                   	3.2000000000        
6                   	3.3333333333        
7                   	3.4285714286        
10                  	2.4000000000        
12                  	3.6666666667        
15                  	3.2000000000        
19                  	3.3684210526        
25                  	3.5200000000        
31                  	3.6129032258        
39                  	2.9743589744        
50                  	3.0400000000        
63                  	3.0476190476        
79                  	3.2405063291        
100                 	3.1600000000        
125                 	3.1680000000        
158                 	3.0886075949        
199                 	3.1356783920        
251                 	3.1235059761        
316                 	3.2784810127        
398                 	3.1959798995        
501                 	3.0339321357        
630                 	3.2000000000        
794                 	3.1889168766        
1000                	3.0640000000        
1258                	3.2718600954        
1584                	3.1464646465        
1995                	3.1097744361        
2511                	3.1907606531        
3162                	3.1068943707        
3981                	3.1369002763        
5011                	3.1171422870        
6309                	3.1859248692        
7943                	3.1358428805        
10000               	3.1244000000        
12589               	3.1265390420        
15848               	3.1605249874        
19952               	3.1577786688        
25118               	3.1330519946        
31622               	3.1454050977        
39810               	3.1364983672        
50118               	3.1358793248        
63095               	3.1317220065        
79432               	3.1340517675        
100000              	3.1461600000        
125892              	3.1387856258        
158489              	3.1429815318        
199526              	3.1354510189        
251188              	3.1448317595        
316227              	3.1449686459        
398107              	3.1388948197        
501187              	3.1425236489        
630957              	3.1436183448        
794328              	3.1419615071        

k = 8
